"StateNumber","State","CountyNumber","County","PrecinctNumber","Precinct"
"FL","Florida","12005","Bay County","33",""
"FL","Florida","12005","Bay County","34",""
"FL","Florida","12005","Bay County","35",""
"FL","Florida","12005","Bay County","36",""
"FL","Florida","12005","Bay County","37",""
"FL","Florida","12005","Bay County","38",""
"FL","Florida","12005","Bay County","39",""
"FL","Florida","12005","Bay County","4",""
"FL","Florida","12005","Bay County","40",""
"FL","Florida","12005","Bay County","41",""
"FL","Florida","12005","Bay County","42",""
"FL","Florida","12005","Bay County","43",""
"FL","Florida","12005","Bay County","44",""
"FL","Florida","12005","Bay County","5",""
"FL","Florida","12005","Bay County","6",""
"FL","Florida","12005","Bay County","7",""
"FL","Florida","12005","Bay County","8",""
"FL","Florida","12005","Bay County","9",""
"FL","Florida","12007","Bradford County","1",""
"FL","Florida","12007","Bradford County","10",""
"FL","Florida","12007","Bradford County","11",""
"FL","Florida","12007","Bradford County","12",""
"FL","Florida","12007","Bradford County","13",""
"FL","Florida","12007","Bradford County","14",""
"FL","Florida","12007","Bradford County","2",""
"FL","Florida","12007","Bradford County","3",""
"FL","Florida","12007","Bradford County","4",""
"FL","Florida","12007","Bradford County","5",""
"FL","Florida","12007","Bradford County","6",""
"FL","Florida","12007","Bradford County","7",""
"FL","Florida","12007","Bradford County","8",""
"FL","Florida","12007","Bradford County","9",""
"FL","Florida","12009","Brevard County","0.1",""
"FL","Florida","12009","Brevard County","100.1",""
"FL","Florida","12009","Brevard County","102.1",""
"FL","Florida","12009","Brevard County","103.1",""
"FL","Florida","12009","Brevard County","104.1",""
"FL","Florida","12009","Brevard County","105.1",""
"FL","Florida","12009","Brevard County","106.1",""
"FL","Florida","12009","Brevard County","107.1",""
"FL","Florida","12009","Brevard County","108.1",""
"FL","Florida","12009","Brevard County","109.1",""
"FL","Florida","12009","Brevard County","111.1",""
"FL","Florida","12009","Brevard County","112.1",""
"FL","Florida","12009","Brevard County","113.1",""
"FL","Florida","12009","Brevard County","114.1",""
"FL","Florida","12009","Brevard County","115.1",""
"FL","Florida","12009","Brevard County","116.1",""
"FL","Florida","12009","Brevard County","118.1",""
"FL","Florida","12009","Brevard County","120.1",""
"FL","Florida","12009","Brevard County","121.1",""
"FL","Florida","12009","Brevard County","122.1",""
"FL","Florida","12009","Brevard County","123.1",""
"FL","Florida","12009","Brevard County","124.1",""
"FL","Florida","12009","Brevard County","125.1",""
"FL","Florida","12009","Brevard County","126.1",""
"FL","Florida","12009","Brevard County","127.1",""
"FL","Florida","12009","Brevard County","128.1",""
"FL","Florida","12009","Brevard County","129.1",""
"FL","Florida","12009","Brevard County","130.1",""
"FL","Florida","12009","Brevard County","131.1",""
"FL","Florida","12009","Brevard County","132.1",""
"FL","Florida","12009","Brevard County","133.1",""
"FL","Florida","12009","Brevard County","134.1",""
"FL","Florida","12009","Brevard County","135.1",""
"FL","Florida","12009","Brevard County","136.1",""
"FL","Florida","12009","Brevard County","200.1",""
"FL","Florida","12009","Brevard County","201.1",""
"FL","Florida","12009","Brevard County","202.1",""
"FL","Florida","12009","Brevard County","203.1",""
"FL","Florida","12009","Brevard County","204.1",""
"FL","Florida","12009","Brevard County","205.1",""
"FL","Florida","12009","Brevard County","206.1",""
"FL","Florida","12009","Brevard County","207.1",""
"FL","Florida","12009","Brevard County","208.1",""
"FL","Florida","12009","Brevard County","209.1",""
"FL","Florida","12009","Brevard County","210.1",""
"FL","Florida","12009","Brevard County","211.1",""
"FL","Florida","12009","Brevard County","212.1",""
"FL","Florida","12009","Brevard County","213.1",""
"FL","Florida","12009","Brevard County","214.1",""
"FL","Florida","12009","Brevard County","215.1",""
"FL","Florida","12009","Brevard County","216.1",""
"FL","Florida","12009","Brevard County","217.1",""
"FL","Florida","12009","Brevard County","218.1",""
"FL","Florida","12009","Brevard County","219.1",""
"FL","Florida","12009","Brevard County","220.1",""
"FL","Florida","12009","Brevard County","221.1",""
"FL","Florida","12009","Brevard County","222.1",""
"FL","Florida","12009","Brevard County","223.1",""
"FL","Florida","12009","Brevard County","224.1",""
"FL","Florida","12009","Brevard County","225.1",""
"FL","Florida","12009","Brevard County","226.1",""
"FL","Florida","12009","Brevard County","227.1",""
"FL","Florida","12009","Brevard County","228.1",""
"FL","Florida","12009","Brevard County","229.1",""
"FL","Florida","12009","Brevard County","230.1",""
"FL","Florida","12009","Brevard County","231.1",""
"FL","Florida","12009","Brevard County","233.1",""
"FL","Florida","12009","Brevard County","234.1",""
"FL","Florida","12009","Brevard County","235.1",""
"FL","Florida","12009","Brevard County","236.1",""
"FL","Florida","12009","Brevard County","237.1",""
"FL","Florida","12009","Brevard County","238.1",""
"FL","Florida","12009","Brevard County","239.1",""
"FL","Florida","12009","Brevard County","240.1",""
"FL","Florida","12009","Brevard County","300.1",""
"FL","Florida","12009","Brevard County","301.1",""
"FL","Florida","12009","Brevard County","302.1",""
"FL","Florida","12009","Brevard County","303.1",""
"FL","Florida","12009","Brevard County","304.1",""
"FL","Florida","12009","Brevard County","305.1",""
"FL","Florida","12009","Brevard County","306.1",""
"FL","Florida","12009","Brevard County","307.1",""
"FL","Florida","12009","Brevard County","308.1",""
"FL","Florida","12009","Brevard County","309.1",""
"FL","Florida","12009","Brevard County","310.1",""
"FL","Florida","12009","Brevard County","311.1",""
"FL","Florida","12009","Brevard County","312.1",""
"FL","Florida","12009","Brevard County","313.1",""
"FL","Florida","12009","Brevard County","314.1",""
"FL","Florida","12009","Brevard County","315.1",""
"FL","Florida","12009","Brevard County","316.1",""
"FL","Florida","12009","Brevard County","317.1",""
"FL","Florida","12009","Brevard County","318.1",""
"FL","Florida","12009","Brevard County","319.1",""
"FL","Florida","12009","Brevard County","320.1",""
"FL","Florida","12009","Brevard County","321.1",""
"FL","Florida","12009","Brevard County","322.1",""
"FL","Florida","12009","Brevard County","323.1",""
"FL","Florida","12009","Brevard County","324.1",""
"FL","Florida","12009","Brevard County","400.1",""
"FL","Florida","12009","Brevard County","402.1",""
"FL","Florida","12009","Brevard County","403.1",""
"FL","Florida","12009","Brevard County","404.1",""
"FL","Florida","12009","Brevard County","405.1",""
"FL","Florida","12009","Brevard County","406.1",""
"FL","Florida","12009","Brevard County","407.1",""
"FL","Florida","12009","Brevard County","408.1",""
"FL","Florida","12009","Brevard County","409.1",""
"FL","Florida","12009","Brevard County","410.1",""
"FL","Florida","12009","Brevard County","411.1",""
"FL","Florida","12009","Brevard County","412.1",""
"FL","Florida","12009","Brevard County","414.1",""
"FL","Florida","12009","Brevard County","415.1",""
"FL","Florida","12009","Brevard County","416.1",""
"FL","Florida","12009","Brevard County","417.1",""
"FL","Florida","12009","Brevard County","418.1",""
"FL","Florida","12009","Brevard County","419.1",""
"FL","Florida","12009","Brevard County","420.1",""
"FL","Florida","12009","Brevard County","421.1",""
"FL","Florida","12009","Brevard County","422.1",""
"FL","Florida","12009","Brevard County","424.1",""
"FL","Florida","12009","Brevard County","425.1",""
"FL","Florida","12009","Brevard County","426.1",""
"FL","Florida","12009","Brevard County","427.1",""
"FL","Florida","12009","Brevard County","428.1",""
"FL","Florida","12009","Brevard County","429.1",""
"FL","Florida","12009","Brevard County","430.1",""
"FL","Florida","12009","Brevard County","431.1",""
"FL","Florida","12009","Brevard County","432.1",""
"FL","Florida","12009","Brevard County","433.1",""
"FL","Florida","12009","Brevard County","434.1",""
"FL","Florida","12009","Brevard County","435.1",""
"FL","Florida","12009","Brevard County","436.1",""
"FL","Florida","12009","Brevard County","437.1",""
"FL","Florida","12009","Brevard County","438.1",""
"FL","Florida","12009","Brevard County","439.1",""
"FL","Florida","12009","Brevard County","440.1",""
"FL","Florida","12009","Brevard County","441.1",""
"FL","Florida","12009","Brevard County","442.1",""
"FL","Florida","12009","Brevard County","443.1",""
"FL","Florida","12009","Brevard County","500.1",""
"FL","Florida","12009","Brevard County","501.1",""
"FL","Florida","12009","Brevard County","502.1",""
"FL","Florida","12009","Brevard County","503.1",""
"FL","Florida","12009","Brevard County","504.1",""
"FL","Florida","12009","Brevard County","505.1",""
"FL","Florida","12009","Brevard County","506.1",""
"FL","Florida","12009","Brevard County","507.1",""
"FL","Florida","12009","Brevard County","508.1",""
"FL","Florida","12009","Brevard County","509.1",""
"FL","Florida","12009","Brevard County","510.1",""
"FL","Florida","12009","Brevard County","511.1",""
"FL","Florida","12009","Brevard County","512.1",""
"FL","Florida","12009","Brevard County","513.1",""
"FL","Florida","12009","Brevard County","515.1",""
"FL","Florida","12009","Brevard County","516.1",""
"FL","Florida","12009","Brevard County","517.1",""
"FL","Florida","12009","Brevard County","518.1",""
"FL","Florida","12009","Brevard County","519.1",""
"FL","Florida","12009","Brevard County","520.1",""
"FL","Florida","12009","Brevard County","521.1",""
"FL","Florida","12009","Brevard County","522.1",""
"FL","Florida","12009","Brevard County","523.1",""
"FL","Florida","12009","Brevard County","524.1",""
"FL","Florida","12009","Brevard County","525.1",""
"FL","Florida","12009","Brevard County","527.1",""
"FL","Florida","12009","Brevard County","528.1",""
"FL","Florida","12009","Brevard County","529.1",""
"FL","Florida","12009","Brevard County","530.1",""
"FL","Florida","12009","Brevard County","531.1",""
"FL","Florida","12009","Brevard County","999.1",""
"FL","Florida","12011","Broward County","187","EVERGL-Voting District"
"FL","Florida","12011","Broward County","A001",""
"FL","Florida","12011","Broward County","A002",""
"FL","Florida","12011","Broward County","A003",""
"FL","Florida","12011","Broward County","A004",""
"FL","Florida","12011","Broward County","A005",""
"FL","Florida","12011","Broward County","A006",""
"FL","Florida","12011","Broward County","A007",""
"FL","Florida","12011","Broward County","A008",""
"FL","Florida","12011","Broward County","A009",""
"FL","Florida","12011","Broward County","A010",""
"FL","Florida","12011","Broward County","A011",""
"FL","Florida","12011","Broward County","A012",""
"FL","Florida","12011","Broward County","A013",""
"FL","Florida","12011","Broward County","A014",""
"FL","Florida","12011","Broward County","A015",""
"FL","Florida","12011","Broward County","A016",""
"FL","Florida","12011","Broward County","A017",""
"FL","Florida","12011","Broward County","A018",""
"FL","Florida","12011","Broward County","A019",""
"FL","Florida","12011","Broward County","A020",""
"FL","Florida","12011","Broward County","A021",""
"FL","Florida","12011","Broward County","A023",""
"FL","Florida","12011","Broward County","A024",""
"FL","Florida","12011","Broward County","A025",""
"FL","Florida","12011","Broward County","A026",""
"FL","Florida","12011","Broward County","A027",""
"FL","Florida","12011","Broward County","A028",""
"FL","Florida","12011","Broward County","A029",""
"FL","Florida","12011","Broward County","A030",""
"FL","Florida","12011","Broward County","A031",""
"FL","Florida","12011","Broward County","A032",""
"FL","Florida","12011","Broward County","A033",""
"FL","Florida","12011","Broward County","A034",""
"FL","Florida","12011","Broward County","A035",""
"FL","Florida","12011","Broward County","A036",""
"FL","Florida","12011","Broward County","A037",""
"FL","Florida","12011","Broward County","A038",""
"FL","Florida","12011","Broward County","A039",""
"FL","Florida","12011","Broward County","B001",""
"FL","Florida","12011","Broward County","B002",""
"FL","Florida","12011","Broward County","B003",""
"FL","Florida","12011","Broward County","B004",""
"FL","Florida","12011","Broward County","B005",""
"FL","Florida","12011","Broward County","B006",""
"FL","Florida","12011","Broward County","B007",""
"FL","Florida","12011","Broward County","C001",""
"FL","Florida","12011","Broward County","C002",""
"FL","Florida","12011","Broward County","C003",""
"FL","Florida","12011","Broward County","C004",""
"FL","Florida","12011","Broward County","C005",""
"FL","Florida","12011","Broward County","C006",""
"FL","Florida","12011","Broward County","C007",""
"FL","Florida","12011","Broward County","C008",""
"FL","Florida","12011","Broward County","C009",""
"FL","Florida","12011","Broward County","C010",""
"FL","Florida","12011","Broward County","C011",""
"FL","Florida","12011","Broward County","C012",""
"FL","Florida","12011","Broward County","C013",""
"FL","Florida","12011","Broward County","C014",""
"FL","Florida","12011","Broward County","C015",""
"FL","Florida","12011","Broward County","C016",""
"FL","Florida","12011","Broward County","C017",""
"FL","Florida","12011","Broward County","C018",""
"FL","Florida","12011","Broward County","C019",""
"FL","Florida","12011","Broward County","C020",""
"FL","Florida","12011","Broward County","C021",""
"FL","Florida","12011","Broward County","C022",""
"FL","Florida","12011","Broward County","C023",""
"FL","Florida","12011","Broward County","C024",""
"FL","Florida","12011","Broward County","C025",""
"FL","Florida","12011","Broward County","C026",""
"FL","Florida","12011","Broward County","C027",""
"FL","Florida","12011","Broward County","C028",""
"FL","Florida","12011","Broward County","C029",""
"FL","Florida","12011","Broward County","C030",""
"FL","Florida","12011","Broward County","C031",""
"FL","Florida","12011","Broward County","C032",""
"FL","Florida","12011","Broward County","C033",""
"FL","Florida","12011","Broward County","C034",""
"FL","Florida","12011","Broward County","C035",""
"FL","Florida","12011","Broward County","C036",""
"FL","Florida","12011","Broward County","C037",""
"FL","Florida","12011","Broward County","C039",""
"FL","Florida","12011","Broward County","C041",""
"FL","Florida","12011","Broward County","C042",""
"FL","Florida","12011","Broward County","C043",""
"FL","Florida","12011","Broward County","C045",""
"FL","Florida","12011","Broward County","C047",""
"FL","Florida","12011","Broward County","C048",""
"FL","Florida","12011","Broward County","C049",""
"FL","Florida","12011","Broward County","C050",""
"FL","Florida","12011","Broward County","C051",""
"FL","Florida","12011","Broward County","C052",""
"FL","Florida","12011","Broward County","C053",""
"FL","Florida","12011","Broward County","C054",""
"FL","Florida","12011","Broward County","C055",""
"FL","Florida","12011","Broward County","C056",""
"FL","Florida","12011","Broward County","D001",""
"FL","Florida","12011","Broward County","D002",""
"FL","Florida","12011","Broward County","D003",""
"FL","Florida","12011","Broward County","D004",""
"FL","Florida","12011","Broward County","D005",""
"FL","Florida","12011","Broward County","D006",""
"FL","Florida","12011","Broward County","D007",""
"FL","Florida","12011","Broward County","D008",""
"FL","Florida","12011","Broward County","D009",""
"FL","Florida","12011","Broward County","D010",""
"FL","Florida","12011","Broward County","D011",""
"FL","Florida","12011","Broward County","D013",""
"FL","Florida","12011","Broward County","D014",""
"FL","Florida","12011","Broward County","D015",""
"FL","Florida","12011","Broward County","D016",""
"FL","Florida","12011","Broward County","D017",""
"FL","Florida","12011","Broward County","D018",""
"FL","Florida","12011","Broward County","D020",""
"FL","Florida","12011","Broward County","D021",""
"FL","Florida","12011","Broward County","D023",""
"FL","Florida","12011","Broward County","D024",""
"FL","Florida","12011","Broward County","D025",""
"FL","Florida","12011","Broward County","E001",""
"FL","Florida","12011","Broward County","E002",""
"FL","Florida","12011","Broward County","E003",""
"FL","Florida","12011","Broward County","E004",""
"FL","Florida","12011","Broward County","E005",""
"FL","Florida","12011","Broward County","E006",""
"FL","Florida","12011","Broward County","E007",""
"FL","Florida","12011","Broward County","E008",""
"FL","Florida","12011","Broward County","E009",""
"FL","Florida","12011","Broward County","E010",""
"FL","Florida","12011","Broward County","E011",""
"FL","Florida","12011","Broward County","E012",""
"FL","Florida","12011","Broward County","E013",""
"FL","Florida","12011","Broward County","E014",""
"FL","Florida","12011","Broward County","E015",""
"FL","Florida","12011","Broward County","E016",""
"FL","Florida","12011","Broward County","E017",""
"FL","Florida","12011","Broward County","E018",""
"FL","Florida","12011","Broward County","E019",""
"FL","Florida","12011","Broward County","E020",""
"FL","Florida","12011","Broward County","E021",""
"FL","Florida","12011","Broward County","E022",""
"FL","Florida","12011","Broward County","E023",""
"FL","Florida","12011","Broward County","E024",""
"FL","Florida","12011","Broward County","E025",""
"FL","Florida","12011","Broward County","E026",""
"FL","Florida","12011","Broward County","E027",""
"FL","Florida","12011","Broward County","E028",""
"FL","Florida","12011","Broward County","E029",""
"FL","Florida","12011","Broward County","E030",""
"FL","Florida","12011","Broward County","E031",""
"FL","Florida","12011","Broward County","E032",""
"FL","Florida","12011","Broward County","E033",""
"FL","Florida","12011","Broward County","E034",""
"FL","Florida","12011","Broward County","E035",""
"FL","Florida","12011","Broward County","E036",""
"FL","Florida","12011","Broward County","E037",""
"FL","Florida","12011","Broward County","E038",""
"FL","Florida","12011","Broward County","E039",""
"FL","Florida","12011","Broward County","E040",""
"FL","Florida","12011","Broward County","E041",""
"FL","Florida","12011","Broward County","E042",""
"FL","Florida","12011","Broward County","E043",""
"FL","Florida","12011","Broward County","E044",""
"FL","Florida","12011","Broward County","E045",""
"FL","Florida","12011","Broward County","F001",""
"FL","Florida","12011","Broward County","F002",""
"FL","Florida","12011","Broward County","F003",""
"FL","Florida","12011","Broward County","F004",""
"FL","Florida","12011","Broward County","F005",""
"FL","Florida","12011","Broward County","F006",""
"FL","Florida","12011","Broward County","F007",""
"FL","Florida","12011","Broward County","F008",""
"FL","Florida","12011","Broward County","F009",""
"FL","Florida","12011","Broward County","F010",""
"FL","Florida","12011","Broward County","F011",""
"FL","Florida","12011","Broward County","F012",""
"FL","Florida","12011","Broward County","F013",""
"FL","Florida","12011","Broward County","F014",""
"FL","Florida","12011","Broward County","F015",""
"FL","Florida","12011","Broward County","F016",""
"FL","Florida","12011","Broward County","F017",""
"FL","Florida","12011","Broward County","G001",""
"FL","Florida","12011","Broward County","G002",""
"FL","Florida","12011","Broward County","G003",""
"FL","Florida","12011","Broward County","G004",""
"FL","Florida","12011","Broward County","G005",""
"FL","Florida","12011","Broward County","G006",""
"FL","Florida","12011","Broward County","G007",""
"FL","Florida","12011","Broward County","G008",""
"FL","Florida","12011","Broward County","G009",""
"FL","Florida","12011","Broward County","G010",""
"FL","Florida","12011","Broward County","G011",""
"FL","Florida","12011","Broward County","G012",""
"FL","Florida","12011","Broward County","G013",""
"FL","Florida","12011","Broward County","G014",""
"FL","Florida","12011","Broward County","G015",""
"FL","Florida","12011","Broward County","G016",""
"FL","Florida","12011","Broward County","G017",""
"FL","Florida","12011","Broward County","G018",""
"FL","Florida","12011","Broward County","G020",""
"FL","Florida","12011","Broward County","G021",""
"FL","Florida","12011","Broward County","G022",""
"FL","Florida","12011","Broward County","G023",""
"FL","Florida","12011","Broward County","G024",""
"FL","Florida","12011","Broward County","H001",""
"FL","Florida","12011","Broward County","H002",""
"FL","Florida","12011","Broward County","H003",""
"FL","Florida","12011","Broward County","H004",""
"FL","Florida","12011","Broward County","H005",""
"FL","Florida","12011","Broward County","H006",""
"FL","Florida","12011","Broward County","H007",""
"FL","Florida","12011","Broward County","H008",""
"FL","Florida","12011","Broward County","H009",""
"FL","Florida","12011","Broward County","H010",""
"FL","Florida","12011","Broward County","H011",""
"FL","Florida","12011","Broward County","H012",""
"FL","Florida","12011","Broward County","H013",""
"FL","Florida","12011","Broward County","J001",""
"FL","Florida","12011","Broward County","J002",""
"FL","Florida","12011","Broward County","J003",""
"FL","Florida","12011","Broward County","J004",""
"FL","Florida","12011","Broward County","J005",""
"FL","Florida","12011","Broward County","J006",""
"FL","Florida","12011","Broward County","J007",""
"FL","Florida","12011","Broward County","J008",""
"FL","Florida","12011","Broward County","J009",""
"FL","Florida","12011","Broward County","J010",""
"FL","Florida","12011","Broward County","J011",""
"FL","Florida","12011","Broward County","J012",""
"FL","Florida","12011","Broward County","J013",""
"FL","Florida","12011","Broward County","J014",""
"FL","Florida","12011","Broward County","J015",""
"FL","Florida","12011","Broward County","J016",""
"FL","Florida","12011","Broward County","J017",""
"FL","Florida","12011","Broward County","J018",""
"FL","Florida","12011","Broward County","J019",""
"FL","Florida","12011","Broward County","J020",""
"FL","Florida","12011","Broward County","J021",""
"FL","Florida","12011","Broward County","J022",""
"FL","Florida","12011","Broward County","J023",""
"FL","Florida","12011","Broward County","J024",""
"FL","Florida","12011","Broward County","J025",""
"FL","Florida","12011","Broward County","J026",""
"FL","Florida","12011","Broward County","J027",""
"FL","Florida","12011","Broward County","J028",""
"FL","Florida","12011","Broward County","J029",""
"FL","Florida","12011","Broward County","J030",""
"FL","Florida","12011","Broward County","J031",""
"FL","Florida","12011","Broward County","K001",""
"FL","Florida","12011","Broward County","K002",""
"FL","Florida","12011","Broward County","K004",""
"FL","Florida","12011","Broward County","K005",""
"FL","Florida","12011","Broward County","K006",""
"FL","Florida","12011","Broward County","K007",""
"FL","Florida","12011","Broward County","K009",""
"FL","Florida","12011","Broward County","K010",""
"FL","Florida","12011","Broward County","K011",""
"FL","Florida","12011","Broward County","K012",""
"FL","Florida","12011","Broward County","K013",""
"FL","Florida","12011","Broward County","K014",""
"FL","Florida","12011","Broward County","K015",""
"FL","Florida","12011","Broward County","L001",""
"FL","Florida","12011","Broward County","L002",""
"FL","Florida","12011","Broward County","L003",""
"FL","Florida","12011","Broward County","L004",""
"FL","Florida","12011","Broward County","L005",""
"FL","Florida","12011","Broward County","L006",""
"FL","Florida","12011","Broward County","L007",""
"FL","Florida","12011","Broward County","L008",""
"FL","Florida","12011","Broward County","L009",""
"FL","Florida","12011","Broward County","L010",""
"FL","Florida","12011","Broward County","L011",""
"FL","Florida","12011","Broward County","L012",""
"FL","Florida","12011","Broward County","L013",""
"FL","Florida","12011","Broward County","L014",""
"FL","Florida","12011","Broward County","L015",""
"FL","Florida","12011","Broward County","L016",""
"FL","Florida","12011","Broward County","L017",""
"FL","Florida","12011","Broward County","L018",""
"FL","Florida","12011","Broward County","L019",""
"FL","Florida","12011","Broward County","L020",""
"FL","Florida","12011","Broward County","L021",""
"FL","Florida","12011","Broward County","L022",""
"FL","Florida","12011","Broward County","L024",""
"FL","Florida","12011","Broward County","L025",""
"FL","Florida","12011","Broward County","L026",""
"FL","Florida","12011","Broward County","L027",""
"FL","Florida","12011","Broward County","L028",""
"FL","Florida","12011","Broward County","L029",""
"FL","Florida","12011","Broward County","M001",""
"FL","Florida","12011","Broward County","M002",""
"FL","Florida","12011","Broward County","M003",""
"FL","Florida","12011","Broward County","M004",""
"FL","Florida","12011","Broward County","M005",""
"FL","Florida","12011","Broward County","M006",""
"FL","Florida","12011","Broward County","M007",""
"FL","Florida","12011","Broward County","M008",""
"FL","Florida","12011","Broward County","M009",""
"FL","Florida","12011","Broward County","M010",""
"FL","Florida","12011","Broward County","M011",""
"FL","Florida","12011","Broward County","M012",""
"FL","Florida","12011","Broward County","M013",""
"FL","Florida","12011","Broward County","M014",""
"FL","Florida","12011","Broward County","M015",""
"FL","Florida","12011","Broward County","M016",""
"FL","Florida","12011","Broward County","M017",""
"FL","Florida","12011","Broward County","M018",""
"FL","Florida","12011","Broward County","M019",""
"FL","Florida","12011","Broward County","M020",""
"FL","Florida","12011","Broward County","M021",""
"FL","Florida","12011","Broward County","M022",""
"FL","Florida","12011","Broward County","M023",""
"FL","Florida","12011","Broward County","M024",""
"FL","Florida","12011","Broward County","M025",""
"FL","Florida","12011","Broward County","M026",""
"FL","Florida","12011","Broward County","M027",""
"FL","Florida","12011","Broward County","M028",""
"FL","Florida","12011","Broward County","M029",""
"FL","Florida","12011","Broward County","M030",""
"FL","Florida","12011","Broward County","M031",""
"FL","Florida","12011","Broward County","M032",""
"FL","Florida","12011","Broward County","M033",""
"FL","Florida","12011","Broward County","M036",""
"FL","Florida","12011","Broward County","M037",""
"FL","Florida","12011","Broward County","M038",""
"FL","Florida","12011","Broward County","M039",""
"FL","Florida","12011","Broward County","M040",""
"FL","Florida","12011","Broward County","M042",""
"FL","Florida","12011","Broward County","M043",""
"FL","Florida","12011","Broward County","N001",""
"FL","Florida","12011","Broward County","N002",""
"FL","Florida","12011","Broward County","N003",""
"FL","Florida","12011","Broward County","N004",""
"FL","Florida","12011","Broward County","N005",""
"FL","Florida","12011","Broward County","N006",""
"FL","Florida","12011","Broward County","N007",""
"FL","Florida","12011","Broward County","N008",""
"FL","Florida","12011","Broward County","N009",""
"FL","Florida","12011","Broward County","N010",""
"FL","Florida","12011","Broward County","N011",""
"FL","Florida","12011","Broward County","N012",""
"FL","Florida","12011","Broward County","N013",""
"FL","Florida","12011","Broward County","N014",""
"FL","Florida","12011","Broward County","N015",""
"FL","Florida","12011","Broward County","N016",""
"FL","Florida","12011","Broward County","N017",""
